tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
0.064	0.092	0.036000000000000004	Ma	10.1029/JB091iB01p00633	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.0	338.0	37.6	234.0	5	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.5887930503721	Basalt	Long Valley Caldera volcanics	-118.890084716803	DE-BLANKET	5L209					64.79999999999997	116.30000000000058
0.157	0.228	0.086	Ma	10.1029/JB091iB01p00633	{'2sig_min': 0.02, '2sig_max': 0.164, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on range of ages for late basalts; K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	1.4	332.3	37.9	1604.0	8	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.7086040735686	Basalt	Long Valley Caldera volcanics	-118.718051026521	DE-BLANKET	5L233					60.99999999982617	124.59999999937614
0.086	0.106	0.06599999999999999	Ma	10.1029/JB091iB01p00633	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.0	17.7	25.8	741.0	8	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.5788594499243	Basalt	Long Valley Caldera volcanics	-119.020020119385	DE-BLANKET	5L352					61.30000000000292	22.999999999996103
0.157	0.228	0.086	Ma	10.1029/JB091iB01p00633	{'2sig_min': 0.02, '2sig_max': 0.164, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1], 'pmag_comments': 'only NRM reported', 'age_comments': 'Age range based on range of ages for late basalts; K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.1	350.9	45.3	331.0	8	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.6718542741615	Basalt	Long Valley Caldera volcanics	-119.051494043901	DE-NRM	5L452					76.70000000000006	98.80000000000103
0.157	0.228	0.086	Ma	10.1029/JB091iB01p00633	{'2sig_min': 0.02, '2sig_max': 0.164, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1], 'pmag_comments': 'only NRM reported', 'age_comments': 'Age range based on range of ages for late basalts; K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.5	345.2	47.9	494.0	8	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.675697710291	Basalt	Long Valley Caldera volcanics	-119.090541038276	DE-NRM	5L460					74.89999999990393	119.99999999940566
0.157	0.228	0.086	Ma	10.1029/JB091iB01p00633	{'2sig_min': 0.02, '2sig_max': 0.164, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1], 'pmag_comments': 'only NRM reported', 'age_comments': 'Age range based on range of ages for late basalts; K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.9	348.7	48.1	128.0	8	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.658373945766	Basalt	Long Valley Caldera volcanics	-119.129066344601	DE-NRM	5L468					77.30000000000003	112.00000000000024
0.095	0.121	0.069	Ma	10.1029/JB091iB01p00633	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.6	5.8	48.4	471.0	8	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.5685541574263	Basalt	Long Valley Caldera volcanics	-118.757625937055	DE-BLANKET	5L344					80.50000002534604	28.999999904462978
0.157	0.228	0.086	Ma	10.1029/JB091iB01p00633	{'2sig_min': 0.02, '2sig_max': 0.164, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1], 'pmag_comments': 'only NRM reported', 'age_comments': 'Age range based on range of ages for late basalts; K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.5	6.3	56.3	515.0	8	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.7	Basalt	Long Valley Caldera volcanics	-119.1	DE-NRM	5L444					84.91824277472375	338.4987168236739
0.103	0.121	0.08499999999999999	Ma	10.1029/JB091iB01p00633	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.8	358.9	58.5	411.0	5	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.7460847365336	Basalt	Long Valley Caldera volcanics	-117.907828497098	DE-BLANKET	5L334					88.29999999903717	212.00000001880014
0.108	0.132	0.08399999999999999	Ma	10.1029/JB091iB01p00633	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1], 'pmag_comments': 'only NRM reported', 'age_comments': 'K-Ar ages not updated from 1986 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.7	8.6	55.2	487.0	7	n	100	Long Valley Caldera - late basalts and trachyandesites	Igneous:Extrusive	Lava	37.8404731426476	Basalt	Long Valley Caldera volcanics	-119.215425073606	DE-NRM	5L385					82.80000000018558	345.1999999942852
