tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
1.29	2.58	0.0	Ma	{'uncer_dist': 'uniform'}	Igneous:Extrusive	21.63	19.29	Felsic lava:Andesitic lava	Western Central TMVB	Outcrop	259.65999999999997	254.51999999999998	North American Plate	7.452964283999438	42.9741295903834	-86.73866418208601	133.8580480434871	1	Western Central TMVB pole 1	qwnTEQ:qcnAGU:qcrCG:qcnTZAR:qcrEST:qcrROD:qcrCSA:qcnCOP:qcnSOM:qcnSM
6.575	11.0	2.15	Ma	{'uncer_dist': 'uniform'}	Igneous:Extrusive	21.63	19.29	Felsic lava:Andesitic lava	Western Central TMVB	Outcrop	259.65999999999997	254.51999999999998	North American Plate	5.054550390490952	25.44162055095502	-87.89747812617405	90.6492098986826	33	Western Central TMVB pole 2	mwnHIG:pwnPLA:pwrLIB:pwrJOL:pwnPAL:pwrJAL:pwrSJG:pwrFER:pcnZAP:pcrTRA:mcnBAJ:pcrCHA:mcrFIN:mcnLN:mcnTEP:mcnPEP:pcnPAJ:mcnPEV:pcnCAL:pcrTRO:mcnJALO:pcrOCO:mcnSJU:pcrPEN:pcrHUA:pcrSOL:mcrCAN:mcrORD:pcnGUA:mcrAZU:pcnPSA:pcnVIR:pcnELD
5.65	10.9	0.0	Ma		Igneous:Extrusive	21.63	19.29	Felsic lava:Andesitic lava	Western Central TMVB	Outcrop	259.68	254.51999999999998	North American Plate							mwnHIG:mwrSF:pwnPLA:pwrLIB:pwrJOL:pwnPAL:pwrJAL:pwrIXT:pwrSJG:pwrFER:qwnTEQ:pcnZAP:pcrTRA:mcnBAJ:mcrARE:pcrCHA:mcrFIN:mcnLN:mcnTEP:mcnPEP:pcnPAJ:mcnPEV:mcnSMA:pcnCAL:pcrTRO:mcnJALO:pcrOCO:mcnSJU:qcnPAR:qcnAGU:qcrCG:qcnTZAR:pcrPEN:pcnBRI:pcnBDI:qcrEST:qcrROD:qcrCSA:pcrHUA:pcrSOL:mcrCAN:mcrORD:pcnGUA:mcrAZU:pcnPSA:pcnVIR:pcnELD:qcnCOP:qcnSOM:qcnSM:qcnAHOR
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
10.2	11.0	9.4	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.9	343.6	24.6	37.4	11		Western sector of TMVB	Igneous:Extrusive	Lava	20.79	Felsic lava:Andesitic lava	Western Central TMVB	254.51999999999998	LP-DIR-AF: LP-DIR-T	mwnHIG					72.44749055375136	140.38743720102656
11.1	11.3	10.9	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': 'scattered directions', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	30.5	190.8	-45.3	1.9	11		Western sector of TMVB	Igneous:Extrusive	Lava	20.89	Felsic lava:Andesitic lava	Western Central TMVB	254.59	LP-DIR-AF: LP-DIR-T	mwrSF					-78.49413130058741	131.56740336614834
3.0385	3.497	2.58	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.4	351.1	31.3	59.8	8		Western sector of TMVB	Igneous:Extrusive	Lava	21.35	Felsic lava:Andesitic lava	Western Central TMVB	254.76	LP-DIR-AF: LP-DIR-T	pwnPLA					80.4943305430438	138.43737401695012
3.0385	3.497	2.58	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.2	166.5	-41.1	492.0	1		Western sector of TMVB	Igneous:Extrusive	Lava	21.58	Felsic lava:Andesitic lava	Western Central TMVB	254.81	LP-DIR-AF: LP-DIR-T	pwrLIB					-77.38218849885675	356.42102170600185
3.36	3.53	3.19	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.9	8.4	49.1	77.6	7		Western sector of TMVB	Igneous:Extrusive	Lava	21.4	Felsic lava:Andesitic lava	Western Central TMVB	254.82	LP-DIR-AF: LP-DIR-T	pwrJOL					78.55656281941977	294.4401578899777
3.0385	3.497	2.58	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.1	180.7	-35.1	83.7	9		Western sector of TMVB	Igneous:Extrusive	Lava	21.63	Felsic lava:Andesitic lava	Western Central TMVB	254.85	LP-DIR-AF: LP-DIR-T	pwnPAL					-87.63892195601308	238.6029520734228
3.955	4.41	3.5	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.5	187.5	-10.1	187.6	1		Western sector of TMVB	Igneous:Extrusive	Lava	21.05	Felsic lava:Andesitic lava	Western Central TMVB	255.6	LP-DIR-AF: LP-DIR-T	pwrJAL					-72.45850481063361	230.0458468460644
3.955	4.41	3.5	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [3, 5], 'pmag_comments': 'scattered directions and probably remagnetized by lightning', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	51.5	221.5	-13.2	0.8	9		Western sector of TMVB	Igneous:Extrusive	Lava	21.05	Felsic lava:Andesitic lava	Western Central TMVB	255.63	LP-DIR-AF: LP-DIR-T	pwrIXT					-47.39638682649634	179.1694704804652
3.955	4.41	3.5	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	9.6	200.6	-19.8	21.3	1		Western sector of TMVB	Igneous:Extrusive	Lava	21.04	Felsic lava:Andesitic lava	Western Central TMVB	255.68	LP-DIR-AF: LP-DIR-T	pwrSJG					-67.43394209996625	191.2110545023797
3.955	4.41	3.5	Ma	10.1111/j.1365-246X.2009.04447.x	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.1	186.5	-41.6	160.3	9		Western sector of TMVB	Igneous:Extrusive	Lava	21.04	Felsic lava:Andesitic lava	Western Central TMVB	255.73000000000002	LP-DIR-AF: LP-DIR-T	pwrFER					-83.33319409721481	138.75698140568673
